p,beneficio_prom,stddev,delta,lower,upper
41,53017.0225549,2237.9122496908813,2.2379122496908814,53014.78464265031,53019.260467149696
42,53048.2309641,2272.8263268594096,2.2728263268594096,53045.958137773145,53050.50379042686
43,53069.251052,2309.3020877859412,2.3093020877859414,53066.941749912214,53071.560354087786
44,53078.9315971,2346.042191218764,2.346042191218764,53076.58555490879,53081.27763929122
45,53077.8634292,2384.1405620461305,2.3841405620461305,53075.47928863795,53080.24756976205
46,53064.7280374,2422.405718283808,2.422405718283808,53062.30563168171,53067.150443118284
47,53043.014231,2459.9492406526815,2.4599492406526817,53040.554281759345,53045.47418024066
